TWEETID		DATE	TWEET	USERID	ACTIVIT0 (0/1/0)	ACTIVITY	POS tag	CORRECT			
20299010946	vanavond	2010-08-04 12:00:00	Ik wil terugg, vanavond korsakoff in zigzag	156380862	1						
20299013326	vanavond	2010-08-04 12:00:00	vanavond eten bij Vis aan de Schelde in Amsterdam ter ere van de verjaardag van @harryftf	17647651	0	eten vis	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	0.5			
20299021140	vanavond	2010-08-04 12:00:00	Ik hoop dat ik vanavond ga dromen over goede tijden en van wie het kind is	115129505	1						
20299025933	vanavond	2010-08-04 12:00:00	www.restaurantperceel.nl: een nieuw restaurant in t dorp... die gaan we vanavond dan maar eens testen!!	43540300	0	gaan testen	WW(pv,tgw,mv) WW(inf,vrij,zonder)	0.5			
20302504151	vanavond	2010-08-04 13:00:00	@Alex_Ditvoorst @men4event hij krijgt vanavond een biertje tijdens #tb010 ;-)	38634458	1						
20302514427	vanavond	2010-08-04 13:00:00	heeft vanavond nog een video van Gentse Feesten 2010 op de site staan, nog even afwachten!	95699930	1						
20302519589	vanavond	2010-08-04 13:00:00	@Dekdweilers treden vanavond op van 18:00 tot 19:00 bij @DeWatersport in Woudsend. #voorbereidenvoordesneekweek	100014275	0	00 dewatersport	SPEC(symb) N(soort,ev,basis,zijd,stan)	0			
20302541388	vanavond	2010-08-04 13:01:00	RT @edgarneo: er kan nog meer bij.... VANAVOND #twitterborrel / #tb010 @ ZIN zie http://bit.ly/tb0100408 -&gt; plz RT	90458210	1						
20302543586	vanavond	2010-08-04 13:01:00	vanavond naar Casablanca :) zijn er nog mensen die gaan? #casablanca #hemiksem #festival	57774710	0	naar casablanca	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20306383614	vanavond	2010-08-04 14:00:00	@jordenchamid ticket 19 gesloten! Ein-de-lijk weer kunnen slapen vanavond. De rest van de week maar vrij nemen?	24637390	0	lijk slapen	N(soort,ev,basis,onz,stan) WW(inf,vrij,zonder)	0.25			
20306386934	vanavond	2010-08-04 14:00:00	Wie is allemaal zo sportief om vanavond MEE TE DOEN met wensday night skate ?	141379663	1						
20306403764	vanavond	2010-08-04 14:00:00	O god wat een regen xD Sjezus.. dat wordt vanavond geen kermis denk ik zo..	69963857	1						
20306407461	vanavond	2010-08-04 14:00:00	Hoe erg is dit?!? Ik heb geen zin om naar de gym te gaan. Ik ben gewoon te moe en toch ga ik mezelf ernaar toe slepen vanavond; tenminste...	140931026	0	moe mezelf	VZ(fin) WW(inf,vrij,zonder)	0			
20306429147	vanavond	2010-08-04 14:00:00	RT @isminthawinters: Verveeeeeeeling --&gt; aah joh.. Vanavond is Ajax dus dan hoef je je niet meer te vervelen!!	61212480	1						
20310490911	vanavond	2010-08-04 15:00:00	Kijk vanavond ook naar de TV-uitzending op TV Noord. Morgen zijn we in Uithuizen! Meer info: http://www.rondjenoord.nl	31695811	1						
20310494604	vanavond	2010-08-04 15:00:00	Hmm, morgen #iPhone4 maar ophalen, red dat vanavond niet :(	55623830	1						
20310514005	vanavond	2010-08-04 15:00:00	Gezien de foto's van schagen e.o. Begrijp ik dat ik vanavond geen gras hoef te maaien?	159465558	1						
20310526164	vanavond	2010-08-04 15:00:00	@xmitzz gaat loesoe vanavond samen met @xxjanee. En ik blijf nuchter! Hihi.	90598108	0	xmitzz loesoe  xxjanee	[u'N(soort,ev,basis,zijd,stan)', u'N(soort,ev,basis,zijd,stan)', u'N(soort,ev,basis,zijd,stan)']	0			
20310526937	vanavond	2010-08-04 15:00:00	"Bij Jesse zitten. Ff kijken wat we vanavond gaan doen.  \
Weet nog niet. Morgen kermis denk.  @ home"	90595106	1						
20314540730	vanavond	2010-08-04 16:00:00	@bwaaijer Het moet niet gekker worden Waaijer! Je begint al aardig op @marijnfietst te lijken #mettreinnaardekoers :-) Succes vanavond!	105107895	1						
20314558725	vanavond	2010-08-04 16:00:00	Wat zal ik vanavond doen ,,, chillllers ,!!!!!	150357962	1						
20314568669	vanavond	2010-08-04 16:00:00	Terug van het werk, zeiknat natuurlijk! #bah wat te doen vanavond?	112730749	1						
20314591908	vanavond	2010-08-04 16:00:00	@Blackheavymika Ja, is ie aan?Ik ga ook voor die denk ik.Hoop dat ie vanavond draait #Metro	117621899	1						
20314592317	vanavond	2010-08-04 16:00:00	Haha sowieso dat ik vanavond Something New kijken	85375899	0	haha something	N(soort,ev,basis,zijd,stan) SPEC(vreemd)	0			
20318529288	vanavond	2010-08-04 17:00:00	Thuis, ff rustig aan doen vanavond.	117704700	0	rustig  .	[u'ADJ(vrij,basis,zonder)']	0			
20318538002	vanavond	2010-08-04 17:00:00	"Vanavond lekker hockeyen..! Half 9 AHC wie joint..?\
Als t niet voortijdig gaat onweren tenminste.."	122764480	0	hockeyen .	WW(inf,vrij,zonder) LET()	1			
20318572884	vanavond	2010-08-04 17:00:00	Speelt jankerd #dezeeuw vanavond? Of heeft hij nog last van pijntjes in zn waffel? #paokajax	112216585	1						
20318582381	vanavond	2010-08-04 17:00:00	De ploeg heeft lekker getraind vanmiddag, leuke beelden gemaakt. Ze staan al op de computer, vanavond monteren... Nu even opfrissen en eten.	133439583	0	 monteren	[u'WW(inf,vrij,zonder)']	1			
20318631155	vanavond	2010-08-04 17:01:00	@MichelKlg disco vanavond of morgen? we mochten niet meer drinken na werk daar maar disco was geen problem;)	157781239	1						
20322269623	vanavond	2010-08-04 18:00:00	@ruthwisman Vanavond naar Inception! Ik hoor graag je reactie morgen. Om 9 uur werkoverleg, dus niet te lang verdromen over Leo.	20589977	0	ruthwisman naar	N(soort,ev,basis,zijd,stan) VZ(init)	0			
20322271229	vanavond	2010-08-04 18:00:00	@eddyjansen @b5rb @molislaegers @makkitwit pakken jullie vanavond nog een terrasje?	15748629	1						
20322271455	vanavond	2010-08-04 18:00:00	"Kijk vanavond om 20:30 naar de Film \Ultraviolet\"" op RTL 7 - http://bit.ly/aY8Uud #film"""	31713761	1						
20322277894	vanavond	2010-08-04 18:00:00	Hulde aan de oppas! Vanavond filmpje pakken en lekker uit eten met de liefde van m'n leven. ;-)	16439443	0	eten liefde	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	0.5			
20322288383	vanavond	2010-08-04 18:00:00	RT @straatsoldaat: Vanavond misschien Noorderlicht te zien!!  #kkvet// daar hebben ze het nu over op at5	166280000	1						
20374001518	vanavond	2010-08-05 09:00:00	Paprika's, halve aubergine én halve courgette moet op. Dus ratatouille vanavond. *zoekt alvast recept*	29171375	1						
20374012250	vanavond	2010-08-05 09:00:00	@Roscovitsch mja ik denk t wel heb weer een paar hele misselijke Jugo samples ontdekt...dus ja, ik ga vanavond weer ff wat beats tikken!	148677640	0	beats tikken	N(soort,mv,basis) WW(inf,vrij,zonder)	1			
20374014374	vanavond	2010-08-05 09:00:00	zo naar den burg met mem, vanavond naar de bios, en daarna misschien met thijs wat doen!	168580067	0	naar bios	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20374014446	vanavond	2010-08-05 09:00:00	Vanavond opening Jazz. Hoop op een mooi weekend voor Zandvoort met op zondag de grote zomermarkt. Nu nog het weer afdwingen....	142576117	1						
20374018228	vanavond	2010-08-05 09:00:00	JAAAAAAAAAAAAA! Net gebeld, IK HEB VANAVOND MIJN IPHONE 4!!!!!!!!!!!!!!	18832760	1						
20376530797	vanavond	2010-08-05 10:00:00	Vanavond op de buis: ... Check aanvangstijden op http://mrmovie.nl	6614062	1						
20376542359	vanavond	2010-08-05 10:00:00	RT @dJazzit Straks met onze #lemmeraak over de vaarten dwars door het Friese landschap. Vanavond bbq. Bij ons is het wel le	106449746	1						
20376542516	vanavond	2010-08-05 10:00:00	@BootOnTour Welke wedstrijd staat er vanavond op het program?	43323970	1						
20376567625	vanavond	2010-08-05 10:00:00	zo richting stad, vanavond 19:00 INFLUENCE ZONE @ STEP UP 3D PREMIERE CATHARIJNE BIOSCOOP! kom het checken ;)	114882917	1						
20376575259	vanavond	2010-08-05 10:00:00	Op het strand en vanavond met hele familie naar voetbalwedstrijd in Split, en dadelijk misschien weer op de bananenboot :D (L) Croatia!	83600733	0	naar voetbalwedstrijd	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20379250682	vanavond	2010-08-05 11:00:00	@Samoothh was vet gezellig met jou, vandaag weer een dag! Vanavond eindelijk na ricky rivaro hehe x	119663861	1						
20379274827	vanavond	2010-08-05 11:00:00	"RT @zoeneeskens: \wie gaat wat vanavond doen?\"" &lt; weer een x oldschool chillen?"""	124859849	1						
20379275754	vanavond	2010-08-05 11:00:00	Mini worstenbroodjes maken voor vanavond bij de borrel. http://twitpic.com/2bsewg	69289569	1						
20379292382	vanavond	2010-08-05 11:01:00	@drinks_gifts vanavond ook op de site	23289826	1						
20379299430	vanavond	2010-08-05 11:01:00	#intherapie was weer Master gister! Vanavond om 22.40 weer voor de buis!	65066841	1						
20382296405	vanavond	2010-08-05 12:00:00	Vanavond stappen? Bij het Vliegende Paard heb je al een cocktail voor 4 euro!	24786772	1						
20382301097	vanavond	2010-08-05 12:00:00	@LennekevM geen spoor van allergie te zien. De kinderen en Vicky vinden t echt super! Dat wordt tranen vanavond...	17647651	1						
20382316580	vanavond	2010-08-05 12:00:00	@driejs JK trouwens een erg leuk blog en JD top je weer eens in het gastenboek voorbij te zien komen. Tot vanavond!! :) (alweer) X	23481479	1						
20382326543	vanavond	2010-08-05 12:00:00	RT @JaydieeBabey: Vanavond na step up 3D met me broer? - ik wil ook gaan, ik ga ook !	122783649	0	jaydieebabey step	N(soort,ev,basis,zijd,stan) SPEC(vreemd)	0			
20382372721	vanavond	2010-08-05 12:01:00	@AnneSamira vanavond gaan we helemaal los zo als het hoort	20585984	0	annesamira gaan	N(soort,ev,basis,zijd,stan) WW(inf,vrij,zonder)	0			
20385887879	vanavond	2010-08-05 13:00:00	"Vanavond lekker en gezellig eten met mijn zus.\Guess what\"". Het is vandaag zussendag. hoe leuk is dat..."""	147163534	0	eten zus	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	0.5			
20385892194	vanavond	2010-08-05 13:00:00	@Jaimydg kan ik vanavond ff me ipod ophalen?	166313095	1						
20385900017	vanavond	2010-08-05 13:00:00	@LesleyZut dude, kan jij cod meenemen zo? Ik ga vanavond denk ik naar step up:$	174267439	0	naar step	VZ(init) SPEC(vreemd)	0.5			
20385910296	vanavond	2010-08-05 13:00:00	Wie werkt er vanavond bij #AH?	22761596	1						
20385914785	vanavond	2010-08-05 13:00:00	@sandrabaaby je moet step up 2 gaan kyken voor vanavond	106755185	0	up gaan	SPEC(vreemd) WW(inf,vrij,zonder)	0			
20389803590	vanavond	2010-08-05 14:00:00	ik zou vanavond ook naar stepup gaan maar ik moet werken =[ .	44655078	0	stepup gaan	N(soort,ev,basis,zijd,stan) WW(inf,vrij,zonder)	0.5			
20389818333	vanavond	2010-08-05 14:00:00	Vanavond PC gaan opzetten voor de LAN party. Ik krijg er al zin in :-) #fivebyfive #delightedtosir #starcraft2	33469815	0	pc gaan	N(soort,ev,basis,zijd,stan) WW(inf,vrij,zonder)	0			
20389821449	vanavond	2010-08-05 14:00:00	weer terug van acht dagen Turkije.  Mooi land, erg vriendelijke mensen. vanavond uit eten met mn vader en mn zus.	154538043	0	eten vader	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	0.5			
20389829839	vanavond	2010-08-05 14:00:00	Draai een beetje door! Het is echt té rustig @ work. Heb al 3 fotoboeken gemaakt. Zegt genoeg toch? Maar vanavond.. uiteten! #goddelijk	68384001	0		[]				
20389835275	vanavond	2010-08-05 14:00:00	@JorisKock Coole shit, maar is nu te laat. Geen tijd meer voor oefenen, vanavond gaat het erom. 2 uur tot Tee-time, and counting.	27846323	1						
20393912337	vanavond	2010-08-05 15:00:00	Vanavond helpen schilderen @hoijente, ben benieuwd of we nu wel verder komen als 6 plankjes XD hahhhaha #skeffmuch	47681656	0	schilderen hoijente	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	0.5			
20393912615	vanavond	2010-08-05 15:00:00	Thuis vanavond az op tv ga denk wel ff kijken komt volgens my toch niks leuks!	105847193	0	tv kijken	N(soort,ev,basis,zijd,stan) WW(inf,vrij,zonder)	1			
20393923866	vanavond	2010-08-05 15:00:00	gaat er nog iemand naar Cargo vanavond? #hetiszomer	7759312	1						
20393926424	vanavond	2010-08-05 15:00:00	Vanavond een kijkje nemen bij Haarlem culinair. Laat weten als je zin hebt om mee te gaan!	14745006	0	kijkje nemen	N(soort,ev,dim,onz,stan) WW(inf,vrij,zonder)	0.5			
20393944440	vanavond	2010-08-05 15:00:00	Alle uren weer aan het boeken en dan zit de dag er alweer op. Morgen weer hard verder. Misschien vanavond zelfs nog.	83847472	0	0	[]	0			
20398033807	vanavond	2010-08-05 16:00:00	Vanavond maar weer eens naar de sportschool &gt;Zumba.	135240053	0	naar sportschool	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20398035386	vanavond	2010-08-05 16:00:00	onderweg naar huis, vanavond even zweten bij @optisport	8104832	0	zweten optisport	WW(inf,vrij,zonder) WW(vd,vrij,zonder)	0.5			
20398058470	vanavond	2010-08-05 16:00:00	net terug van werken, nu wachten op avondeten. Ik heb zo'n honger! vanavond nog iets doen? Geen idee..	109622742	1						
20398079607	vanavond	2010-08-05 16:00:00	RT @Priinciipessaa: @shopaholicxxxx onze Jillzz is door de auto geknalt; dus dat word leeg drinken vanavond.---  &gt;lekker toch, ik kan helpen	152644657	0	leeg drinken	ADJ(vrij,basis,zonder) WW(inf,vrij,zonder)	1			
20398085575	vanavond	2010-08-05 16:00:00	tot 4 gewerkt, best kapotttt... maar nu nog ff snel aan tosskamp want dat moet morgen af! vanavond weg, xxxxx	143867764	0		[]				
20402201116	vanavond	2010-08-05 17:00:00	RT @NiekteG: RT @ArjanLU: Twijfel ofk vanavond iets ga doen || aaltendagen? /// daar gaat toch niemand heen	137835809	1						
20402219061	vanavond	2010-08-05 17:00:00	RT @DefianceMusic: @Quadro_B Ben benieuwd // geef je mailadres maar dan zend ik m vanavond wel 	111061231	0	quadro_b ben	N(soort,ev,basis,zijd,stan) WW(pv,tgw,ev)	0			
20402254480	vanavond	2010-08-05 17:00:00	Vandaag is zo'n : Ik heb even nergens zin in dag. Ik neem vrij vanavond.	109925353	1						
20402257702	vanavond	2010-08-05 17:00:00	Ik ga me omkleden, ga vanavond trainen. Heb alleen wel veel hoofdpijn, maar goed. Fijne avond!!	62146402	0	 trainen	[u'WW(inf,vrij,zonder)']	1			
20402266156	vanavond	2010-08-05 17:01:00	mmm, welke telefoongrap zullen we vanavond eens doen? tune in @ 23.50 en we gaan weer gieren. #Radio538 #avondshow	24903012	1						
20405959183	vanavond	2010-08-05 18:00:00	"Kijk vanavond om 20:30 naar de Film \Broken arrow\"" op RTL 7 - http://bit.ly/9vM8mJ #film"""	31713761	1						
20405980291	vanavond	2010-08-05 18:00:00	Oke geen goed idee om wat te gaan doen. Blijf vanavond echt thuis en uit zieken	166227281	1						
20405987123	vanavond	2010-08-05 18:00:00	Nog iets leuks op tv vanavond? (@ Vico's Place) http://4sq.com/9mEsSo	90616403	1						
20405997323	vanavond	2010-08-05 18:00:00	Jij? RT @Oehlers: Dus wie is vanavond @ pathe arena ?	28559176	1						
20406007845	vanavond	2010-08-05 18:00:00	@JeroenGiezen een Apple en een #Grolsch, ...het heeft zo moeten zijn vanavond! Tijd stond even stil... #LOL	128196905	1						
20454104261	vanavond	2010-08-06 09:00:00	RT @VIVA_nl Photoshoppen bij sterren! Bij Shownieuws vanavond. Met uw @VivaCCvD aan het woord. Als het er niet uitgeknipt wordt ; )	26486332	1						
20454140136	vanavond	2010-08-06 09:00:00	Alweer lekker gedoucht en alles. Vanmiddag naar de braderie en vanavond bbq'en met deel van familie!	94548763	0	naar braderie	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20454144065	vanavond	2010-08-06 09:00:00	Lekker! Weekend is in zicht! Zo nog even aan de arbeit, vanavond spinning @cafespijker en morgen #WTTF. Nu hopen dat t droog blijft...	22929040	0	cafespijker wttf	N(soort,ev,basis,zijd,stan) WW(pv,verl,ev)	0			
20454169183	vanavond	2010-08-06 09:01:00	@Silliejj88 haha ja heerlijk!! Vanavond even swingen op de hits van weleer, goed?	27705742	0	swingen hits	N(soort,mv,basis) LET()	0.5			
20454173552	vanavond	2010-08-06 09:01:00	@jelleamersfoort Succes en plezier dan! Vanavond uitblazen bij een portie bitterballen?	124292491	1						
20456712157	vanavond	2010-08-06 10:00:00	@Wendy_Pardon hahaha weltrustuuhh.. maar was leuk avondje :) Superdom van m'n portomonee! Als je 'm vanavond mee wil nemen heel graag ja:)xx	137793841	1						
20456734756	vanavond	2010-08-06 10:00:00	@gerardekdom zodan! dan heb je een bete dag radio-maken te gaan man... Respect, zie je vanavond weer tijdens #EkstraWeekend, Groenten #Yodel	90367223	0	tijdens ekstraweekend	VZ(init) N(soort,ev,basis,zijd,stan)	0			
20456748242	vanavond	2010-08-06 10:00:00	Zo...klaar met die nachtdienst. Vanavond naar de Santportse feestweek!!	154209228	0	santportse feestweek	ADJ(prenom,basis,met-e,stan) N(soort,ev,basis,zijd,stan)	1			
20456800709	vanavond	2010-08-06 10:02:00	vanavond lekker naar huis voor een kort weekend en dan zondag weer terug naar Mannheim @ Mannheim	49097253	0	naar mannheim	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20456804992	vanavond	2010-08-06 10:02:00	vanavond optreden met Piratentoppers bij Dicky Woodstock festival.in steenwijkerwold	126917914	0	optreden piratentoppers	WW(inf,vrij,zonder) N(soort,mv,basis)	1			
20459423165	vanavond	2010-08-06 11:00:00	Nu aankleden zo richting oma vanavond rotterdam met #kevinn	116744455	0	oma rotterdam	N(soort,ev,basis,zijd,stan) N(soort,ev,basis,onz,stan)	0			
20459424252	vanavond	2010-08-06 11:00:00	Vanavond wielerronde Burgh-H en morgen op Recreatieboerderij Van Langeraad streekmarkt, palingrook-wedstrijd en stoomtreintjes #genoegtedoen	95904438	1						
20459455413	vanavond	2010-08-06 11:00:00	Is dom eh, vanavond weer werken van 4 tot 8 ? Neee, geen zinmeer	37484173	0	werken 8	WW(inf,vrij,zonder) TW(hoofd,vrij)	0.25			
20459469467	vanavond	2010-08-06 11:00:00	RT @deparade: Vanavond om 18u gaat de Parade in Amsterdam open, zeventien dagen lang staan we in het Martin Luther Kingpark.	7609412	1						
20459487873	vanavond	2010-08-06 11:01:00	RT @CHASEYY_ Nu aankleden zo richting oma vanavond rotterdam met #kevinn • Je ex kevin ?	110779945	0	ex kevin	N(soort,ev,basis,zijd,stan) N(soort,ev,basis,onz,stan)	0			
20462566090	vanavond	2010-08-06 12:00:00	Vanavond DJ Travolta! Met muziek uit de jaren '80, '90 en '00! En een paar plaatjes uit de huidige top 40.	24786772	1						
20462566350	vanavond	2010-08-06 12:00:00	word gebeld of ik vanavond kan werken. heb gisteren voor twee gewerkt, dus: nee	5423762	1						
20462575451	vanavond	2010-08-06 12:00:00	@richardvdvelde ja ik heb het bedrijf gebeld, foutje ze komen je om 7 uur vanavond halen	49342482	1						
20462588092	vanavond	2010-08-06 12:00:00	@frrr En vanavond begint 't al hè. Snetver! We hebben een paar doublures in de line-up, trouwens.	80057254	1						
20462599534	vanavond	2010-08-06 12:00:00	Maatregelen treffen voor Texel, vanavond filmpje met Jo&Jo en vanaf morgen #homealone	157971445	0	vanaf homealone	VZ(init) N(soort,ev,basis,zijd,stan)	0			
20466460608	vanavond	2010-08-06 13:00:00	@Sanne2584 okey  nou ik ben net denk ik een uurtje klaar ben bij linda zie je vanavond bij lin wel kus	144465246	1						
20466475225	vanavond	2010-08-06 13:00:00	Lig op de bank, zo even een super silver draaien, vanavond € maken	59914795	0	a maken	SPEC(vreemd) WW(inf,vrij,zonder)	0			
20466478953	vanavond	2010-08-06 13:00:00	Vanavond weer fietsen, iemand zin om mee te gaan? :)	115796999	1						
20466500984	vanavond	2010-08-06 13:00:00	Prachtige dag voor Roggefeest Nes. Mooi lekker weer, veel sfeer, muziek en mooie acts. Zit je op #Ameland gauw gaan. duurt tot vanavond laat	146962887	1						
20466501741	vanavond	2010-08-06 13:00:00	@HobNobFestival Opzich goed idee, edoch ik krijg mensen op bezoek vanavond!	37642991	0	edoch krijg	ADJ(vrij,basis,zonder) WW(pv,tgw,ev)	0			
20470900454	vanavond	2010-08-06 14:00:00	Lekker geslapen, uitgebreid gedoucht, straks pannenkoeken eten, vanavond naar Inception & daarna naar de Kar.. I lovez today! &lt;3	49702216	0	naar kar	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20470901538	vanavond	2010-08-06 14:00:00	vanavond naar amphiii met miloutje !	118683954	0	naar amphiii	VZ(init) N(soort,ev,basis,zijd,stan)	1			
20470916932	vanavond	2010-08-06 14:00:00	RT @Clairetenhag: @sannefrancine nou niet doen, nu word ik nieuwsgieriggg!!! En krijg ik het vanavond al :D?? - NEEEEEE	84166970	1						
20470930521	vanavond	2010-08-06 14:00:00	@yyoupp ik weet het nog niet zeker.. moet eerst oppassen vanavond, kijken hoe gaar ik daarna ben. Wordt het druk? #hw0608	115010121	0	oppassen 	[u'WW(inf,vrij,zonder)']	1			
20470944388	vanavond	2010-08-06 14:00:00	Alleen thuis... Iedereen uit logeren. Eerst maar eens een klein slaapje, voordat ik vanavond in de lampen ga hangen.	153383612	1						
20475334989	vanavond	2010-08-06 15:00:00	Morgen 3 tot 4 Bft op zee en vanavond nog een feestje. De vissen gaan me graag zien komen.	2214551	0	zee feestje	N(soort,ev,basis,zijd,stan) N(soort,ev,dim,onz,stan)	0.25			
20475340909	vanavond	2010-08-06 15:00:00	en vanavond hoop ik dan eindelijk kijken voor sport 1.	101468404	0	kijken sport	WW(inf,vrij,zonder) N(soort,ev,basis,zijd,stan)	1			
20475372342	vanavond	2010-08-06 15:00:00	RT @kicker2: Maar vanavond heb ik hoofdpijn	150375697	1						
20475382465	vanavond	2010-08-06 15:00:00	Pff zit zooo tegen vanavond op weer de weg op hopen dat het lukt allemaal:(	149096966	1						
20475392191	vanavond	2010-08-06 15:00:00	RT @stubru: Luister vanavond en morgen All Areas  live vanop de Lokerse Feesten! Met livemuziek van o.a. M.I.A., Air en Babyshambles!	20228219	1						
20479731212	vanavond	2010-08-06 16:00:00	Jeeeee weekend. Nu in de bus met een stomme buschauffeur die me er bijna niet in liet om 10! Eurocent... Vanavond stappeee	97056331	0	 stappeee	[u'N(soort,ev,basis,zijd,stan)']	1			
20479746108	vanavond	2010-08-06 16:00:00	@ Thuis, Vervelen wat zal ik eens gaan doen vanavond!?	150784507	1						
20479767502	vanavond	2010-08-06 16:00:00	strand, zwembad, winkelen, boodschappen heb alles erop zitten! ik ga ff siesta houden, vanavond los! Zit aan me 5e fles lemon #spanje	102925638	0	 los	[u'ADJ(vrij,basis,zonder)']	1			
20479771946	vanavond	2010-08-06 16:00:00	RT @xbeauuuu: ik en me dush gaan eten, vanavond uit. oeef wat zijn hier knappe jongens.	118489543	0	 uit	[u'VZ(fin)']	1			
20479773289	vanavond	2010-08-06 16:00:00	Wesley gaat morgen al naar Opa Stok. En de was raakt maar niet weggewerkt. Maar moet het wel voor vanavond klaar hebben.	18679401	1						
20483956528	vanavond	2010-08-06 17:00:00	@TijsvandenBrink kan je vanavond aan Jort vragen wat de poort is tot vrijgevigheid van rijken aan zinvolle particulieren ANBI projecten??	74692597	1						
20483957544	vanavond	2010-08-06 17:00:00	Ik ben vanavond niet bereikbaar voor commentaar. Ook niet voor #basj_nl en @marinaonline. De radio zal rond 18:55 voor mij spreken. #homo100	12636022	1						
20483973861	vanavond	2010-08-06 17:00:00	Ik blijf vanavond dus thuiss..	29513620	0	ik blijf	VNW(pers,pron,nomin,vol,1,ev) WW(pv,tgw,ev)	0			
20483975649	vanavond	2010-08-06 17:00:00	Vanavond cityrockers met de beste en leukste mc van Friesland! @MartinHarder aka mc Martin de Man!!!	48388686	1						
20483975900	vanavond	2010-08-06 17:00:00	@Timoa111 Wordt de seizoensopening nog op een feestelijke manier bekeken ofzo vanavond? #lijktmeeenoptie	45440766	1						
20487848557	vanavond	2010-08-06 18:00:00	"Kijk vanavond om 20:30 naar de Film \Children of Dune\"" op RTL 7 - http://bit.ly/buOwAi #film"""	31713761	1						
20487853582	vanavond	2010-08-06 18:00:00	RT @PRAIADELSOL: Vanavond cityrockers met de beste en leukste mc van Friesland! @MartinHarder aka mc Martin de Man!!! &gt;Hahaha Master! ;)	28159151	1						
20487886751	vanavond	2010-08-06 18:00:00	RT @Evangelien: RT @Rdfortheladies: Wil vanavond uit ?? - neem me mee☺•is goed XD	73428470	1						
20487901220	vanavond	2010-08-06 18:00:00	@Bo_di Oh sorry Bo! Zie nu pas dat jij het bent!! Leuk! Vanavond nog de stad in?	63084093	1						
