TWEETID		DATE	TWEET	USERID	ACTIVITY (Y/N/U)	activity	
20299021140	vanavond	2010-08-04 12:00:00	Ik hoop dat ik vanavond ga dromen over goede tijden en van wie het kind is	115129505	n		
20299025933	vanavond	2010-08-04 12:00:00	www.restaurantperceel.nl: een nieuw restaurant in t dorp... die gaan we vanavond dan maar eens testen!!	43540300	y		
20302504151	vanavond	2010-08-04 13:00:00	@Alex_Ditvoorst @men4event hij krijgt vanavond een biertje tijdens #tb010 ;-)	38634458	n		
20302514427	vanavond	2010-08-04 13:00:00	heeft vanavond nog een video van Gentse Feesten 2010 op de site staan, nog even afwachten!	95699930	n		
20302519589	vanavond	2010-08-04 13:00:00	@Dekdweilers treden vanavond op van 18:00 tot 19:00 bij @DeWatersport in Woudsend. #voorbereidenvoordesneekweek	100014275	y		
20302541388	vanavond	2010-08-04 13:01:00	RT @edgarneo: er kan nog meer bij.... VANAVOND #twitterborrel / #tb010 @ ZIN zie http://bit.ly/tb0100408 -&gt; plz RT	90458210	n		
20302543586	vanavond	2010-08-04 13:01:00	vanavond naar Casablanca :) zijn er nog mensen die gaan? #casablanca #hemiksem #festival	57774710	y		
20306383614	vanavond	2010-08-04 14:00:00	@jordenchamid ticket 19 gesloten! Ein-de-lijk weer kunnen slapen vanavond. De rest van de week maar vrij nemen?	24637390	y		
20306386934	vanavond	2010-08-04 14:00:00	Wie is allemaal zo sportief om vanavond MEE TE DOEN met wensday night skate ?	141379663	n		
20306403764	vanavond	2010-08-04 14:00:00	O god wat een regen xD Sjezus.. dat wordt vanavond geen kermis denk ik zo..	69963857	n		
20306407461	vanavond	2010-08-04 14:00:00	Hoe erg is dit?!? Ik heb geen zin om naar de gym te gaan. Ik ben gewoon te moe en toch ga ik mezelf ernaar toe slepen vanavond; tenminste...	140931026	n		
20306429147	vanavond	2010-08-04 14:00:00	RT @isminthawinters: Verveeeeeeeling --&gt; aah joh.. Vanavond is Ajax dus dan hoef je je niet meer te vervelen!!	61212480	n		
20310490911	vanavond	2010-08-04 15:00:00	Kijk vanavond ook naar de TV-uitzending op TV Noord. Morgen zijn we in Uithuizen! Meer info: http://www.rondjenoord.nl	31695811	n		
20310494604	vanavond	2010-08-04 15:00:00	Hmm, morgen #iPhone4 maar ophalen, red dat vanavond niet :(	55623830	n		
20310514005	vanavond	2010-08-04 15:00:00	Gezien de foto's van schagen e.o. Begrijp ik dat ik vanavond geen gras hoef te maaien?	159465558	n		
20310526164	vanavond	2010-08-04 15:00:00	@xmitzz gaat loesoe vanavond samen met @xxjanee. En ik blijf nuchter! Hihi.	90598108	y		
20310526937	vanavond	2010-08-04 15:00:00	"Bij Jesse zitten. Ff kijken wat we vanavond gaan doen.  \
Weet nog niet. Morgen kermis denk.  @ home"	90595106	n		
20314540730	vanavond	2010-08-04 16:00:00	@bwaaijer Het moet niet gekker worden Waaijer! Je begint al aardig op @marijnfietst te lijken #mettreinnaardekoers :-) Succes vanavond!	105107895	n		
20314558725	vanavond	2010-08-04 16:00:00	Wat zal ik vanavond doen ,,, chillllers ,!!!!!	150357962	n		
20314568669	vanavond	2010-08-04 16:00:00	Terug van het werk, zeiknat natuurlijk! #bah wat te doen vanavond?	112730749	n		
20314591908	vanavond	2010-08-04 16:00:00	@Blackheavymika Ja, is ie aan?Ik ga ook voor die denk ik.Hoop dat ie vanavond draait #Metro	117621899	n		
20314592317	vanavond	2010-08-04 16:00:00	Haha sowieso dat ik vanavond Something New kijken	85375899	n		
20318529288	vanavond	2010-08-04 17:00:00	Thuis, ff rustig aan doen vanavond.	117704700	y		
20318538002	vanavond	2010-08-04 17:00:00	"Vanavond lekker hockeyen..! Half 9 AHC wie joint..?\
Als t niet voortijdig gaat onweren tenminste.."	122764480	y		
20318572884	vanavond	2010-08-04 17:00:00	Speelt jankerd #dezeeuw vanavond? Of heeft hij nog last van pijntjes in zn waffel? #paokajax	112216585	n		
20318582381	vanavond	2010-08-04 17:00:00	De ploeg heeft lekker getraind vanmiddag, leuke beelden gemaakt. Ze staan al op de computer, vanavond monteren... Nu even opfrissen en eten.	133439583	n		
20318631155	vanavond	2010-08-04 17:01:00	@MichelKlg disco vanavond of morgen? we mochten niet meer drinken na werk daar maar disco was geen problem;)	157781239	n		
20322269623	vanavond	2010-08-04 18:00:00	@ruthwisman Vanavond naar Inception! Ik hoor graag je reactie morgen. Om 9 uur werkoverleg, dus niet te lang verdromen over Leo.	20589977	y		
20322271229	vanavond	2010-08-04 18:00:00	@eddyjansen @b5rb @molislaegers @makkitwit pakken jullie vanavond nog een terrasje?	15748629	n		
20322271455	vanavond	2010-08-04 18:00:00	"Kijk vanavond om 20:30 naar de Film \Ultraviolet\"" op RTL 7 - http://bit.ly/aY8Uud #film"""	31713761	n		
20322277894	vanavond	2010-08-04 18:00:00	Hulde aan de oppas! Vanavond filmpje pakken en lekker uit eten met de liefde van m'n leven. ;-)	16439443	y		
20322288383	vanavond	2010-08-04 18:00:00	RT @straatsoldaat: Vanavond misschien Noorderlicht te zien!!  #kkvet// daar hebben ze het nu over op at5	166280000	n		
20374001518	vanavond	2010-08-05 09:00:00	Paprika's, halve aubergine én halve courgette moet op. Dus ratatouille vanavond. *zoekt alvast recept*	29171375	n		
20374012250	vanavond	2010-08-05 09:00:00	@Roscovitsch mja ik denk t wel heb weer een paar hele misselijke Jugo samples ontdekt...dus ja, ik ga vanavond weer ff wat beats tikken!	148677640	y		
20374014374	vanavond	2010-08-05 09:00:00	zo naar den burg met mem, vanavond naar de bios, en daarna misschien met thijs wat doen!	168580067	n		
20374014446	vanavond	2010-08-05 09:00:00	Vanavond opening Jazz. Hoop op een mooi weekend voor Zandvoort met op zondag de grote zomermarkt. Nu nog het weer afdwingen....	142576117	n		
20374018228	vanavond	2010-08-05 09:00:00	JAAAAAAAAAAAAA! Net gebeld, IK HEB VANAVOND MIJN IPHONE 4!!!!!!!!!!!!!!	18832760	n		
20376530797	vanavond	2010-08-05 10:00:00	Vanavond op de buis: ... Check aanvangstijden op http://mrmovie.nl	6614062	n		
20376542359	vanavond	2010-08-05 10:00:00	RT @dJazzit Straks met onze #lemmeraak over de vaarten dwars door het Friese landschap. Vanavond bbq. Bij ons is het wel le	106449746	n		
20376542516	vanavond	2010-08-05 10:00:00	@BootOnTour Welke wedstrijd staat er vanavond op het program?	43323970	n		
20376567625	vanavond	2010-08-05 10:00:00	zo richting stad, vanavond 19:00 INFLUENCE ZONE @ STEP UP 3D PREMIERE CATHARIJNE BIOSCOOP! kom het checken ;)	114882917	n		
20376575259	vanavond	2010-08-05 10:00:00	Op het strand en vanavond met hele familie naar voetbalwedstrijd in Split, en dadelijk misschien weer op de bananenboot :D (L) Croatia!	83600733	n		
20379250682	vanavond	2010-08-05 11:00:00	@Samoothh was vet gezellig met jou, vandaag weer een dag! Vanavond eindelijk na ricky rivaro hehe x	119663861	n		
20379274827	vanavond	2010-08-05 11:00:00	"RT @zoeneeskens: \wie gaat wat vanavond doen?\"" &lt; weer een x oldschool chillen?"""	124859849	u		
20379275754	vanavond	2010-08-05 11:00:00	Mini worstenbroodjes maken voor vanavond bij de borrel. http://twitpic.com/2bsewg	69289569	n		
20379292382	vanavond	2010-08-05 11:01:00	@drinks_gifts vanavond ook op de site	23289826	n		
20379299430	vanavond	2010-08-05 11:01:00	#intherapie was weer Master gister! Vanavond om 22.40 weer voor de buis!	65066841	n		
20382296405	vanavond	2010-08-05 12:00:00	Vanavond stappen? Bij het Vliegende Paard heb je al een cocktail voor 4 euro!	24786772	n		
20382301097	vanavond	2010-08-05 12:00:00	@LennekevM geen spoor van allergie te zien. De kinderen en Vicky vinden t echt super! Dat wordt tranen vanavond...	17647651	y		
20382316580	vanavond	2010-08-05 12:00:00	@driejs JK trouwens een erg leuk blog en JD top je weer eens in het gastenboek voorbij te zien komen. Tot vanavond!! :) (alweer) X	23481479	n		
20382326543	vanavond	2010-08-05 12:00:00	RT @JaydieeBabey: Vanavond na step up 3D met me broer? - ik wil ook gaan, ik ga ook !	122783649	y		
20382372721	vanavond	2010-08-05 12:01:00	@AnneSamira vanavond gaan we helemaal los zo als het hoort	20585984	n		
20385887879	vanavond	2010-08-05 13:00:00	"Vanavond lekker en gezellig eten met mijn zus.\Guess what\"". Het is vandaag zussendag. hoe leuk is dat..."""	147163534	n		
20385892194	vanavond	2010-08-05 13:00:00	@Jaimydg kan ik vanavond ff me ipod ophalen?	166313095	y		
20385900017	vanavond	2010-08-05 13:00:00	@LesleyZut dude, kan jij cod meenemen zo? Ik ga vanavond denk ik naar step up:$	174267439	y		
20385910296	vanavond	2010-08-05 13:00:00	Wie werkt er vanavond bij #AH?	22761596	n		
20385914785	vanavond	2010-08-05 13:00:00	@sandrabaaby je moet step up 2 gaan kyken voor vanavond	106755185	y		
20389803590	vanavond	2010-08-05 14:00:00	ik zou vanavond ook naar stepup gaan maar ik moet werken =[ .	44655078	n		
20389818333	vanavond	2010-08-05 14:00:00	Vanavond PC gaan opzetten voor de LAN party. Ik krijg er al zin in :-) #fivebyfive #delightedtosir #starcraft2	33469815	n		
20389821449	vanavond	2010-08-05 14:00:00	weer terug van acht dagen Turkije.  Mooi land, erg vriendelijke mensen. vanavond uit eten met mn vader en mn zus.	154538043	y		
20389829839	vanavond	2010-08-05 14:00:00	Draai een beetje door! Het is echt té rustig @ work. Heb al 3 fotoboeken gemaakt. Zegt genoeg toch? Maar vanavond.. uiteten! #goddelijk	68384001	y		
20389835275	vanavond	2010-08-05 14:00:00	@JorisKock Coole shit, maar is nu te laat. Geen tijd meer voor oefenen, vanavond gaat het erom. 2 uur tot Tee-time, and counting.	27846323	y		
20393912337	vanavond	2010-08-05 15:00:00	Vanavond helpen schilderen @hoijente, ben benieuwd of we nu wel verder komen als 6 plankjes XD hahhhaha #skeffmuch	47681656	y		
20393912615	vanavond	2010-08-05 15:00:00	Thuis vanavond az op tv ga denk wel ff kijken komt volgens my toch niks leuks!	105847193	n		
20393923866	vanavond	2010-08-05 15:00:00	gaat er nog iemand naar Cargo vanavond? #hetiszomer	7759312	y		
20393926424	vanavond	2010-08-05 15:00:00	Vanavond een kijkje nemen bij Haarlem culinair. Laat weten als je zin hebt om mee te gaan!	14745006	n		
20393944440	vanavond	2010-08-05 15:00:00	Alle uren weer aan het boeken en dan zit de dag er alweer op. Morgen weer hard verder. Misschien vanavond zelfs nog.	83847472	n		
20398033807	vanavond	2010-08-05 16:00:00	Vanavond maar weer eens naar de sportschool &gt;Zumba.	135240053	y		
20398035386	vanavond	2010-08-05 16:00:00	onderweg naar huis, vanavond even zweten bij @optisport	8104832	n		
20398058470	vanavond	2010-08-05 16:00:00	net terug van werken, nu wachten op avondeten. Ik heb zo'n honger! vanavond nog iets doen? Geen idee..	109622742	n		
20398079607	vanavond	2010-08-05 16:00:00	RT @Priinciipessaa: @shopaholicxxxx onze Jillzz is door de auto geknalt; dus dat word leeg drinken vanavond.---  &gt;lekker toch, ik kan helpen	152644657	y		
20398085575	vanavond	2010-08-05 16:00:00	tot 4 gewerkt, best kapotttt... maar nu nog ff snel aan tosskamp want dat moet morgen af! vanavond weg, xxxxx	143867764	n		
20402201116	vanavond	2010-08-05 17:00:00	RT @NiekteG: RT @ArjanLU: Twijfel ofk vanavond iets ga doen || aaltendagen? /// daar gaat toch niemand heen	137835809	n		
20402219061	vanavond	2010-08-05 17:00:00	RT @DefianceMusic: @Quadro_B Ben benieuwd // geef je mailadres maar dan zend ik m vanavond wel 	111061231	y		
20402254480	vanavond	2010-08-05 17:00:00	Vandaag is zo'n : Ik heb even nergens zin in dag. Ik neem vrij vanavond.	109925353	n		
20402257702	vanavond	2010-08-05 17:00:00	Ik ga me omkleden, ga vanavond trainen. Heb alleen wel veel hoofdpijn, maar goed. Fijne avond!!	62146402	y		
20402266156	vanavond	2010-08-05 17:01:00	mmm, welke telefoongrap zullen we vanavond eens doen? tune in @ 23.50 en we gaan weer gieren. #Radio538 #avondshow	24903012	y		
20405959183	vanavond	2010-08-05 18:00:00	"Kijk vanavond om 20:30 naar de Film \Broken arrow\"" op RTL 7 - http://bit.ly/9vM8mJ #film"""	31713761	n		
20405980291	vanavond	2010-08-05 18:00:00	Oke geen goed idee om wat te gaan doen. Blijf vanavond echt thuis en uit zieken	166227281	n		
20405987123	vanavond	2010-08-05 18:00:00	Nog iets leuks op tv vanavond? (@ Vico's Place) http://4sq.com/9mEsSo	90616403	n		
20405997323	vanavond	2010-08-05 18:00:00	Jij? RT @Oehlers: Dus wie is vanavond @ pathe arena ?	28559176	n		
20406007845	vanavond	2010-08-05 18:00:00	@JeroenGiezen een Apple en een #Grolsch, ...het heeft zo moeten zijn vanavond! Tijd stond even stil... #LOL	128196905	n		
20454104261	vanavond	2010-08-06 09:00:00	RT @VIVA_nl Photoshoppen bij sterren! Bij Shownieuws vanavond. Met uw @VivaCCvD aan het woord. Als het er niet uitgeknipt wordt ; )	26486332	n		
20454140136	vanavond	2010-08-06 09:00:00	Alweer lekker gedoucht en alles. Vanmiddag naar de braderie en vanavond bbq'en met deel van familie!	94548763	n		
20454144065	vanavond	2010-08-06 09:00:00	Lekker! Weekend is in zicht! Zo nog even aan de arbeit, vanavond spinning @cafespijker en morgen #WTTF. Nu hopen dat t droog blijft...	22929040	n		
20454169183	vanavond	2010-08-06 09:01:00	@Silliejj88 haha ja heerlijk!! Vanavond even swingen op de hits van weleer, goed?	27705742	y		
20454173552	vanavond	2010-08-06 09:01:00	@jelleamersfoort Succes en plezier dan! Vanavond uitblazen bij een portie bitterballen?	124292491	y		
20456712157	vanavond	2010-08-06 10:00:00	@Wendy_Pardon hahaha weltrustuuhh.. maar was leuk avondje :) Superdom van m'n portomonee! Als je 'm vanavond mee wil nemen heel graag ja:)xx	137793841	n		
20456734756	vanavond	2010-08-06 10:00:00	@gerardekdom zodan! dan heb je een bete dag radio-maken te gaan man... Respect, zie je vanavond weer tijdens #EkstraWeekend, Groenten #Yodel	90367223	y		
20456748242	vanavond	2010-08-06 10:00:00	Zo...klaar met die nachtdienst. Vanavond naar de Santportse feestweek!!	154209228	n		
20456800709	vanavond	2010-08-06 10:02:00	vanavond lekker naar huis voor een kort weekend en dan zondag weer terug naar Mannheim @ Mannheim	49097253	n		
20456804992	vanavond	2010-08-06 10:02:00	vanavond optreden met Piratentoppers bij Dicky Woodstock festival.in steenwijkerwold	126917914	y		
20459423165	vanavond	2010-08-06 11:00:00	Nu aankleden zo richting oma vanavond rotterdam met #kevinn	116744455	y		
20459424252	vanavond	2010-08-06 11:00:00	Vanavond wielerronde Burgh-H en morgen op Recreatieboerderij Van Langeraad streekmarkt, palingrook-wedstrijd en stoomtreintjes #genoegtedoen	95904438	n		
20459455413	vanavond	2010-08-06 11:00:00	Is dom eh, vanavond weer werken van 4 tot 8 ? Neee, geen zinmeer	37484173	y		
20459469467	vanavond	2010-08-06 11:00:00	RT @deparade: Vanavond om 18u gaat de Parade in Amsterdam open, zeventien dagen lang staan we in het Martin Luther Kingpark.	7609412	n		
20459487873	vanavond	2010-08-06 11:01:00	RT @CHASEYY_ Nu aankleden zo richting oma vanavond rotterdam met #kevinn • Je ex kevin ?	110779945	u		
20462566090	vanavond	2010-08-06 12:00:00	Vanavond DJ Travolta! Met muziek uit de jaren '80, '90 en '00! En een paar plaatjes uit de huidige top 40.	24786772	n		
20462566350	vanavond	2010-08-06 12:00:00	word gebeld of ik vanavond kan werken. heb gisteren voor twee gewerkt, dus: nee	5423762	y		
20462575451	vanavond	2010-08-06 12:00:00	@richardvdvelde ja ik heb het bedrijf gebeld, foutje ze komen je om 7 uur vanavond halen	49342482	n		
20462588092	vanavond	2010-08-06 12:00:00	@frrr En vanavond begint 't al hè. Snetver! We hebben een paar doublures in de line-up, trouwens.	80057254	n		
20462599534	vanavond	2010-08-06 12:00:00	Maatregelen treffen voor Texel, vanavond filmpje met Jo&Jo en vanaf morgen #homealone	157971445	n		
20466460608	vanavond	2010-08-06 13:00:00	@Sanne2584 okey  nou ik ben net denk ik een uurtje klaar ben bij linda zie je vanavond bij lin wel kus	144465246	n		
20466475225	vanavond	2010-08-06 13:00:00	Lig op de bank, zo even een super silver draaien, vanavond € maken	59914795	y		
20466478953	vanavond	2010-08-06 13:00:00	Vanavond weer fietsen, iemand zin om mee te gaan? :)	115796999	n		
20466500984	vanavond	2010-08-06 13:00:00	Prachtige dag voor Roggefeest Nes. Mooi lekker weer, veel sfeer, muziek en mooie acts. Zit je op #Ameland gauw gaan. duurt tot vanavond laat	146962887	n		
20466501741	vanavond	2010-08-06 13:00:00	@HobNobFestival Opzich goed idee, edoch ik krijg mensen op bezoek vanavond!	37642991	y		
20470900454	vanavond	2010-08-06 14:00:00	Lekker geslapen, uitgebreid gedoucht, straks pannenkoeken eten, vanavond naar Inception & daarna naar de Kar.. I lovez today! &lt;3	49702216	n		
20470901538	vanavond	2010-08-06 14:00:00	vanavond naar amphiii met miloutje !	118683954	n		
20470916932	vanavond	2010-08-06 14:00:00	RT @Clairetenhag: @sannefrancine nou niet doen, nu word ik nieuwsgieriggg!!! En krijg ik het vanavond al :D?? - NEEEEEE	84166970	n		
20470930521	vanavond	2010-08-06 14:00:00	@yyoupp ik weet het nog niet zeker.. moet eerst oppassen vanavond, kijken hoe gaar ik daarna ben. Wordt het druk? #hw0608	115010121	y		
20470944388	vanavond	2010-08-06 14:00:00	Alleen thuis... Iedereen uit logeren. Eerst maar eens een klein slaapje, voordat ik vanavond in de lampen ga hangen.	153383612	n		
20475334989	vanavond	2010-08-06 15:00:00	Morgen 3 tot 4 Bft op zee en vanavond nog een feestje. De vissen gaan me graag zien komen.	2214551	y		
20475340909	vanavond	2010-08-06 15:00:00	en vanavond hoop ik dan eindelijk kijken voor sport 1.	101468404	y		
20475372342	vanavond	2010-08-06 15:00:00	RT @kicker2: Maar vanavond heb ik hoofdpijn	150375697	n		
20475382465	vanavond	2010-08-06 15:00:00	Pff zit zooo tegen vanavond op weer de weg op hopen dat het lukt allemaal:(	149096966	n		
20475392191	vanavond	2010-08-06 15:00:00	RT @stubru: Luister vanavond en morgen All Areas  live vanop de Lokerse Feesten! Met livemuziek van o.a. M.I.A., Air en Babyshambles!	20228219	n		
20479731212	vanavond	2010-08-06 16:00:00	Jeeeee weekend. Nu in de bus met een stomme buschauffeur die me er bijna niet in liet om 10! Eurocent... Vanavond stappeee	97056331	y		
20479746108	vanavond	2010-08-06 16:00:00	@ Thuis, Vervelen wat zal ik eens gaan doen vanavond!?	150784507	n		
20479767502	vanavond	2010-08-06 16:00:00	strand, zwembad, winkelen, boodschappen heb alles erop zitten! ik ga ff siesta houden, vanavond los! Zit aan me 5e fles lemon #spanje	102925638	y		
20479771946	vanavond	2010-08-06 16:00:00	RT @xbeauuuu: ik en me dush gaan eten, vanavond uit. oeef wat zijn hier knappe jongens.	118489543	n		
20479773289	vanavond	2010-08-06 16:00:00	Wesley gaat morgen al naar Opa Stok. En de was raakt maar niet weggewerkt. Maar moet het wel voor vanavond klaar hebben.	18679401	n		
20483956528	vanavond	2010-08-06 17:00:00	@TijsvandenBrink kan je vanavond aan Jort vragen wat de poort is tot vrijgevigheid van rijken aan zinvolle particulieren ANBI projecten??	74692597	y		
20483957544	vanavond	2010-08-06 17:00:00	Ik ben vanavond niet bereikbaar voor commentaar. Ook niet voor #basj_nl en @marinaonline. De radio zal rond 18:55 voor mij spreken. #homo100	12636022	n		
20483973861	vanavond	2010-08-06 17:00:00	Ik blijf vanavond dus thuiss..	29513620	n		
20483975649	vanavond	2010-08-06 17:00:00	Vanavond cityrockers met de beste en leukste mc van Friesland! @MartinHarder aka mc Martin de Man!!!	48388686	n		
20483975900	vanavond	2010-08-06 17:00:00	@Timoa111 Wordt de seizoensopening nog op een feestelijke manier bekeken ofzo vanavond? #lijktmeeenoptie	45440766	y		
20487848557	vanavond	2010-08-06 18:00:00	"Kijk vanavond om 20:30 naar de Film \Children of Dune\"" op RTL 7 - http://bit.ly/buOwAi #film"""	31713761	n		
20487853582	vanavond	2010-08-06 18:00:00	RT @PRAIADELSOL: Vanavond cityrockers met de beste en leukste mc van Friesland! @MartinHarder aka mc Martin de Man!!! &gt;Hahaha Master! ;)	28159151	n		
20487886751	vanavond	2010-08-06 18:00:00	RT @Evangelien: RT @Rdfortheladies: Wil vanavond uit ?? - neem me mee☺•is goed XD	73428470	n		
20487901220	vanavond	2010-08-06 18:00:00	@Bo_di Oh sorry Bo! Zie nu pas dat jij het bent!! Leuk! Vanavond nog de stad in?	63084093			
20487919036	vanavond	2010-08-06 18:01:00	Vanavond naar #zomerterras voor muziek en een sappie. Gipsy.cz lijkt mij wel aardige afsluiter.	23500456			
20539077750	vanavond	2010-08-07 09:00:00	Vanavond naar de première van 'Babel (words)' van Eastman @Theateradparade. Wil je iets bijzonders ervaren? Ga zien! http://cot.ag/aelkCd	43139996			
20539079006	vanavond	2010-08-07 09:00:00	hopen op een wins voor Willem II vanavond in Almelo!!	168751030			
20539084347	vanavond	2010-08-07 09:00:00	Vanavond genieten van live muziek en goed eten en drinken? Kom naar ZomerLive bij Stadscafé De Waag in Delft! http://bit.ly/dewaag	159456850			
20539086754	vanavond	2010-08-07 09:00:00	@FemkeTjalda en vanavond ben ik erbij! @elskedewall ik zing keihard met je mee!	26236431			
20539087397	vanavond	2010-08-07 09:00:00	Regen schmegen. Ik ga nu fietsen en vanavond naar Schollenpop. En morgen naar Sziget.	68415366			
20541508299	vanavond	2010-08-07 10:00:00	Voor happy hour 2 boterhammen en 6 kipnuggets en erna 1 hamburgertje vd #MacDonalds. #teweinig? Nog 4uurtjes werken en vanavond #BANKHANGEN!	94420682			
20541515813	vanavond	2010-08-07 10:00:00	verjaardag was gezellig gisteren :D, zo eerst even croissantje eten en dan even boodschappen doen denk vanavond even film kijken	148468427			
20541517524	vanavond	2010-08-07 10:00:00	RT @jeroenvdermaas: Gezellig vanavond met @ayreon007, @gvkeeken, @woutweeter #inception #grandtheatre #inception  wordt gezellig!!	175685003			
20541526811	vanavond	2010-08-07 10:00:00	Vanavond in de Scandinavische Filmzomer op Ned. 2: twee Deense Dogma-films. Om 22.40 uur 'Festen', om 00.25 uur 'Italiensk for begyndere'.	90156463			
20541527028	vanavond	2010-08-07 10:00:00	@feestdjlars maak ze gek hondje! Zie ik je vanavond nog in Antwerpen?	91394542			
20543947779	vanavond	2010-08-07 11:00:00	zo, vanavond even Sepultura op het strand kijken	25975887			
20543955514	vanavond	2010-08-07 11:00:00	of je hebt 15 appelflappen over en mag die lekker opeten. wat ga ik een buikpijn hebben. vanavond feesten morgen een vrije dag!!!	119491498			
20543962220	vanavond	2010-08-07 11:00:00	Lekker muziek luisteren vanavond eten bij me broer en aan de Baco, lekkerrrrrr	52382214			
20543974310	vanavond	2010-08-07 11:00:00	Onderweg naar huisss wat is de planning voor vanavond?? Xx	75240657			
20543979754	vanavond	2010-08-07 11:00:00	Vanavond miss nog nr iets met paarden. Want ons bezoek vind dt leuk & dat is hier vandaag ofso.	105245986			
20546618117	vanavond	2010-08-07 12:00:00	Omdat het vandaag Gay Pride is: Brokeback Mountain - vanavond 22:10 Nederland 3 l http://ow.ly/2lpwO	19716506			
20546619052	vanavond	2010-08-07 12:00:00	De kermis is net geopend. De attractie draaien al, kunnen we uit de verte zien. Vanavond maar even een rondje, als het weer het toelaat...	23761686			
20546620578	vanavond	2010-08-07 12:00:00	Vanavond ihkv #gaypride: Freddie Mercury Privé in #hetuurvandewolf op #NL3. Niet missen, want niet op #uitzendinggemist hierna!	94353051			
20546623421	vanavond	2010-08-07 12:00:00	Gaat er vanavond nog iemand naar Il mondo del Salsa... eeh... Silo? Met Bert Hadders en de Nozems? #evengeensalsa #moethetooknietoverdrijven	15248111			
20546633723	vanavond	2010-08-07 12:00:00	@tesslovestorres katerpride! Ik ben gisteren al naar die verkiezing geweest, vanavond ga ik naar Ultrasexi.	73211879			
20549715781	vanavond	2010-08-07 13:00:00	Net weer van het strand, straks na mijn Vrienden uit schut! Vanavond met hun uit eten en cocktails drinken. Love Chersonissos	166190198			
20549721408	vanavond	2010-08-07 13:00:00	Welke film moet k gaan kijken in de bios vanavond, inception kan niet!	139121938			
20549724271	vanavond	2010-08-07 13:00:00	ga denk ik maar dutje doen om vanavond vol te houden, ik weet ben verwend lui nest, krijg je van 5 dagen 6 uur uit t bed	48967070			
20549724630	vanavond	2010-08-07 13:00:00	Zijn er vanavond nog leuke films op tv? #film #jamesbond #televisie	172492730			
20549751056	vanavond	2010-08-07 13:00:00	@Collin_O Ik ga vanavond weer eens kijken of de tenten/podia/lichten er nog zijn.	14303980			
20553299326	vanavond	2010-08-07 14:00:00	Waarom laat ik me nou weer overhalen, moet ik alweer bier drinken vanavond......	41399733			
20553301506	vanavond	2010-08-07 14:00:00	En maar denken dat het lekker weer wordt, begint het ineens te regenen. Weg terras vanavond!	155638816			
20553314079	vanavond	2010-08-07 14:00:00	Heerlijk! Vanavond lekker zalm met pennen eten! Geen schrijfdingen, maar pasta ;)	45113043			
